ui,intervention,p_self_k,p_other_k,p_beta,p_other_self_k,p_self_choice,p_other_choice,l_self_k,l_other_k,l_beta,l_other_self_k,l_self_choice,l_other_choice,h_self_k,h_other_k,h_beta,h_other_self_k,h_self_choice,h_other_choice
3928,1,0.0211969808089078,0.020908047311006,0.661181224243881,-0.000288933497901878,0.9,1,0.0878864898119851,0.10577347679155,0.692736109530232,0.0178869869795652,0.9,1,0.110879977907642,0.117591947801052,0.955895699296384,0.00671196989340996,0.9,1
4164,0,0.0432691221616074,0.0206121062992619,0.782006272347053,-0.0226570158623454,0.727272727272727,1,0.240162676750679,0.0940860142927182,0.869301070640469,-0.14607666245796,0.727272727272727,1,0.307569900422032,0.067710335561677,1.44474720665532,-0.239859564860355,0.727272727272727,1
4231,0,0.0065247018330747,0.0667033850459672,0.940818693188172,0.0601786832128925,1,0.761904761904762,0.0282550306184655,0.315362962738283,1.02774214712981,0.287107932119817,1,0.761904761904762,0.032196977549867,0.410128638771293,1.89837338592071,0.377931661221426,1,0.761904761904762
4241,1,0.00967859783461194,0.0316819630680841,0.740558055578439,0.0220033652334722,0.952380952380952,1,0.0463818399224501,0.137148264149434,0.769334822026557,0.0907664242269841,0.952380952380952,1,0.0852519480623191,0.122549119947408,1.04259220945119,0.0372971718850887,0.952380952380952,1
4625,1,0.172603567987843,0.126205126772633,0.39926178231434,-0.04639844121521,0.375,0.473684210526316,0.715051369818606,0.634621865302109,0.558587540648601,-0.0804295045164976,0.375,0.473684210526316,0.707916752798388,0.858449430882674,1.44876474362631,0.150532678084286,0.375,0.473684210526316
4920,0,0.00754277871646327,0.0156166092655112,1.36175283782721,0.0080738305490479,1,1,0.0346151285027271,0.0720722885261774,1.40370132305722,0.0374571600234503,1,1,0.0469941691628344,0.0541898396740907,1.72243290625683,0.00719567051125626,1,1
4961,1,0.0109028894530105,0.0349535493447771,0.697438338705479,0.0240506598917666,1,0.894736842105263,0.0480939872047446,0.184056629850225,0.748642245680396,0.13596264264548,1,0.894736842105263,0.0732620504296784,0.211437988031157,1.0792286415038,0.138175937601478,1,0.894736842105263
5096,1,0.0081432076663362,0.0170426913031291,2.67642345771214,0.00889948363679286,1,1,0.0362586802796998,0.0762609943165124,2.73388059942047,0.0400023140368126,1,1,0.0450219636222527,0.059220953620831,3.8796525289941,0.0141989899985783,1,1
5113,0,0.00758407682355635,0.631679118321729,2.18674329103988,0.624095041498173,1,0.0434782608695652,0.0342993364324038,1.3726601561404,2.38765813203093,1.33836081970799,1,0.0434782608695652,0.0505859462386381,1.46139528754294,4.80548612593865,1.41080934130431,1,0.0434782608695652
5156,0,0.00724569771067598,0.0556064463142238,1.87318837944886,0.0483607486035479,1,0.869565217391304,0.0319416693153716,0.240808818342638,1.94538715366447,0.208867149027267,1,0.869565217391304,0.0392576803621698,0.220640747738877,2.97457872488081,0.181383067376707,1,0.869565217391304
